temp,hum,duration,warning temp,warning humidity
0,30,5,100,100,
26,30,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,29,5,100,100,
26,29,5,100,100,
26,29,5,100,100,
26,29,5,100,100,
26,29,5,100,100,
26,29,5,100,100,
26,29,5,100,100,
26,29,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,29,5,100,100,
26,29,5,100,100,
26,30,5,100,100,
26,30,5,100,100,
26,30,5,100,100,
26,30,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,29,5,100,100,
26,29,5,100,100,
26,29,5,100,100,
26,29,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,26,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,27,5,100,100,
26,28,5,100,100,
26,28,5,100,100,
26,28,2,100,100,
26,28,2,100,100,
26,29,2,100,100,
26,29,2,100,100,
26,28,2,100,100,
26,28,2,100,100,
26,28,2,20,100,
26,28,2,20,100,
26,28,2,20,100,
26,28,2,20,100,
26,28,2,20,100,
26,28,2,20,100,
26,28,2,20,100,
26,28,2,20,100,
26,28,2,20,100,
26,28,2,20,100,
